Date,Total Cases,Total Death
16 May 20,84038,4637
15 May 20,84029,4637
14 May 20,84024,4637
13 May 20,84018,4637
12 May 20,84011,4637
11 May 20,84010,4637
10 May 20,83990,4637
09 May 20,83976,4637
08 May 20,83975,4637
07 May 20,83970,4637
06 May 20,83968,4637
05 May 20,83966,4637
04 May 20,83964,4637
03 May 20,83959,4637
02 May 20,83959,4637
01 May 20,83956,4637
30 Apr 20,83944,4637
29 Apr 20,83940,4637
28 Apr 20,83918,4637
27 Apr 20,83912,4637
26 Apr 20,83909,4636
25 Apr 20,83899,4636
24 Apr 20,83884,4636
23 Apr 20,83868,4636
22 Apr 20,83853,4636
21 Apr 20,83817,4636
20 Apr 20,83805,4636
19 Apr 20,83786,4636
18 Apr 20,83760,4636
17 Apr 20,83403,3346
16 Apr 20,83355,3346
15 Apr 20,83306,3345
14 Apr 20,83213,3345
13 Apr 20,83134,3343
12 Apr 20,83014,3343
11 Apr 20,82941,3340
10 Apr 20,82883,3339
09 Apr 20,82809,3337
08 Apr 20,82718,3335
07 Apr 20,82665,3335
06 Apr 20,82594,3333
05 Apr 20,82534,3330
04 Apr 20,82497,3326
03 Apr 20,82414,3322
02 Apr 20,82333,3316
01 Apr 20,82245,3309
31 Mar 20,82139,3308
30 Mar 20,82058,3304
29 Mar 20,81964,3299
28 Mar 20,81872,3296
27 Mar 20,81781,3291
26 Mar 20,81658,3285
25 Mar 20,81587,3281
24 Mar 20,81493,3274
23 Mar 20,81435,3274
22 Mar 20,81305,3259
21 Mar 20,81250,3253
20 Mar 20,81156,3249
19 Mar 20,81102,3241
18 Mar 20,81058,3230
17 Mar 20,81033,3217
16 Mar 20,81003,3203
15 Mar 20,80977,3193
14 Mar 20,80945,3180
13 Mar 20,80932,3172
12 Mar 20,80921,3161
11 Mar 20,80887,3139
10 Mar 20,80860,3123
09 Mar 20,80823,3100
08 Mar 20,80770,3072
07 Mar 20,80690,3044
06 Mar 20,80537,3015
05 Mar 20,80386,2983
04 Mar 20,80261,2947
03 Mar 20,80136,2914
02 Mar 20,79932,2872
01 Mar 20,79356,2837
29 Feb 20,78928,2790
28 Feb 20,78600,2746
27 Feb 20,78166,2717
26 Feb 20,77754,2665
25 Feb 20,77241,2595
24 Feb 20,77022,2445
23 Feb 20,77001,2443
22 Feb 20,75550,2238
21 Feb 20,75077,2238
20 Feb 20,74619,2116
19 Feb 20,74211,2003
18 Feb 20,72434,1864
17 Feb 20,70513,1766
16 Feb 20,68413,1663
15 Feb 20,66358,1521
14 Feb 20,59895,1369
13 Feb 20,44759,1117
12 Feb 20,44386,1112
11 Feb 20,42354,1012
10 Feb 20,39829,905
09 Feb 20,36814,805
08 Feb 20,34110,718
07 Feb 20,30587,633
06 Feb 20,27440,563
05 Feb 20,23707,491
04 Feb 20,19716,425
03 Feb 20,16630,361
02 Feb 20,11891,259
01 Feb 20,9802,213
31 Jan 20,8141,171
30 Jan 20,6087,133
29 Jan 20,5509,131
28 Jan 20,2877,82
27 Jan 20,2075,56
26 Jan 20,1406,42
25 Jan 20,920,26
24 Jan 20,643,18
23 Jan 20,548,17
