Date,Total Cases,Total Death
25 Jun 22,2122283,14624
24 Jun 22,2120269,14624
23 Jun 22,2118491,14623
22 Jun 22,2116897,14622
21 Jun 22,2115561,14622
20 Jun 22,2114127,14621
19 Jun 22,2112692,14619
18 Jun 22,2111214,14619
17 Jun 22,2109935,14618
16 Jun 22,2108598,14618
15 Jun 22,2107342,14617
14 Jun 22,2106288,14616
13 Jun 22,2105331,14616
12 Jun 22,2104341,14616
11 Jun 22,2103227,14616
10 Jun 22,2102379,14616
09 Jun 22,2101560,14615
08 Jun 22,2101049,14615
07 Jun 22,2100607,14612
06 Jun 22,2099865,14612
05 Jun 22,2099041,14608
04 Jun 22,2098595,14608
03 Jun 22,2097925,14606
02 Jun 22,2097282,14605
01 Jun 22,2096684,14604
31 May 22,2096200,14604
30 May 22,2095730,14602
29 May 22,2095275,14602
28 May 22,2094679,14601
27 May 22,2094030,14600
26 May 22,2093676,14597
25 May 22,2405582,14594
24 May 22,2401316,14594
23 May 22,2396751,14593
22 May 22,2391967,14592
21 May 22,2382097,14589
20 May 22,2381653,14584
19 May 22,2376208,14583
18 May 22,2370542,14578
17 May 22,2364674,14575
16 May 22,2358657,14574
15 May 22,2352227,14569
14 May 22,2345499,14565
13 May 22,2338157,14561
12 May 22,2330401,14558
11 May 22,2322540,14550
10 May 22,2314048,14538
09 May 22,2304960,14531
08 May 22,2295239,14518
07 May 22,2284843,14510
06 May 22,2272841,14486
05 May 22,2259581,14469
04 May 22,2244537,14453
03 May 22,2227785,14430
02 May 22,2207511,14405
01 May 22,2156704,14368
30 Apr 22,2154960,14273
29 Apr 22,2125741,14210
28 Apr 22,2099294,14158
27 Apr 22,2071583,14102
26 Apr 22,2041627,14043
25 Apr 22,2010186,13974
24 Apr 22,1979195,13922
23 Apr 22,1946354,13901
22 Apr 22,1927327,13875
21 Apr 22,1892953,13841
20 Apr 22,1862513,13833
19 Apr 22,1829198,13807
18 Apr 22,1797182,13777
17 Apr 22,1767045,13748
16 Apr 22,1762722,13707
15 Apr 22,1708431,13640
14 Apr 22,1681437,13586
13 Apr 22,1655477,13524
12 Apr 22,1630880,13465
11 Apr 22,1605905,13408
10 Apr 22,1577996,13343
09 Apr 22,1550870,13281
08 Apr 22,1523618,13195
07 Apr 22,1495380,13098
06 Apr 22,1466859,12987
05 Apr 22,1446956,12900
04 Apr 22,1430893,12810
03 Apr 22,1414142,12699
02 Apr 22,1400358,12583
01 Apr 22,1385495,12463
31 Mar 22,1371807,12344
30 Mar 22,1355883,12209
29 Mar 22,1346658,12058
